Ticker,n_fast,n_slow,Test_Sharpe,Test_Return[%],Test_MaxDD[%]
AAPL,100,200,0.7790544058836316,244.375876888857,-28.52265822103496
ABBV,150,200,0.8452719558789795,65.45968264700383,-20.58823928420912
ADBE,30,200,0.4297606826693894,114.59382780212404,-28.3024183351531
AMT,100,200,0.20618058313991,28.946112738402864,-35.135794896982
AMZN,150,200,0.6227584184052449,232.8246839771271,-39.790194409373505
AVGO,100,150,0.7560132026479699,244.31916422367496,-29.29458714440519
AXP,100,200,0.6433396255354661,157.03941735661942,-22.40788265384104
BA,100,200,0.2605237371980323,62.21698922844403,-42.38084845963829
BAC,100,200,0.5819360142214974,124.46699817674893,-29.110002368914845
BLK,50,150,0.6649490716132226,125.3275080359145,-22.262324119206877
CAT,50,100,0.4336935894878963,84.08561521906933,-35.16874715071665
CMCSA,100,150,0.11463560336683579,16.593447760326328,-28.921615094947928
COP,50,150,0.36828822210088885,92.28266888867336,-32.9269650694526
CRM,50,100,0.5211654972817841,124.6002895341511,-38.07485885479224
CSCO,100,150,0.5715454570751097,105.24295093262306,-20.278495931353547
CVX,150,200,0.30516176269447753,43.88019341053885,-21.31019258844192
DIS,50,150,0.18759812403667525,31.552211624739645,-37.33877320036174
DUK,100,200,0.2460877733254176,37.59573667745637,-37.33540246784101
GOOGL,150,200,0.6288044267105816,111.09707599070258,-21.98866184978471
GS,50,150,0.4433963342087477,89.01177441163003,-23.82118729388506
HD,30,100,0.5622978361722509,90.12200146380266,-17.27527961319707
HON,150,200,0.6296598977451434,94.47424214183505,-16.7146257524173
INTC,100,150,0.11933591388078413,24.995360470623766,-46.26654241720743
JNJ,150,200,0.13855295750514898,16.263547611941284,-27.27265087198222
JPM,50,100,0.7192296706320831,166.12065667086603,-18.7175324986524
KO,30,150,0.2894365456557412,30.686140887284946,-16.435803444253704
LLY,100,200,0.6223150521666037,211.78163026666397,-23.787509574496546
MCD,30,200,0.4160526153144968,43.31517217073049,-17.70137358816317
META,100,200,0.8516001270349745,123.174478986973,-18.363516061155728
MRK,50,200,0.25780349106005973,34.29813876268641,-26.94640075056548
MS,50,100,0.4811129152708914,110.96583416453905,-24.4666740487255
MSFT,50,200,0.7134548396624425,174.70806139991836,-20.471045361580632
NEE,30,200,0.29977595908046983,42.32257438593635,-29.110612788884936
NFLX,150,200,0.5028245757915503,173.51348143753054,-46.813775980997086
NKE,100,150,0.3128827731818874,56.41737450508386,-31.54090771459086
NVDA,100,150,0.5756008503831425,368.3318716251987,-39.67110901485509
PEP,100,200,0.3809082345602302,40.75229674426411,-17.35379068199713
PFE,100,200,0.2000152985551735,31.23679694678298,-39.21889934454492
PG,150,200,0.7092725665071011,87.43949034634839,-19.000518665788345
PLD,100,200,0.46722973922584504,79.73756076032332,-28.994355624311975
RTX,50,100,0.3992796566402621,70.16037682459137,-21.61353514152049
SBUX,50,150,0.25666486598619404,39.421148998057525,-24.22299712687884
SCHW,50,100,0.2882296182349763,69.59913734010334,-50.228652210723155
TMO,100,150,0.4839255469421123,90.99553553474489,-25.79073640177517
TSLA,100,200,0.5213297639860043,164.13948380523678,-38.333133442720694
UNH,50,150,0.5005302096843642,95.03064322207084,-32.92389204506677
UPS,150,200,0.28344753376871523,47.726907488715156,-34.44967714856718
WFC,50,200,0.4586802848787604,95.4226034027661,-26.0859357821701
WMT,20,100,0.4900389340464661,73.67349015074403,-25.851151973298748
XOM,150,200,0.4793284444313466,85.06348379498507,-17.05673958839389
