n_fast,n_slow,Test_Return[%],Test_Sharpe,Test_MaxDD[%],Test_Trades
100,200,65.78592194184425,0.33023234202160856,-31.94654863795954,9.0
50,200,61.322444736715745,0.3026461486197152,-30.668644980281364,10.2
150,200,59.72332489752281,0.30225666001687423,-35.14382940049871,10.46
100,150,56.8947285428164,0.2695179727814964,-32.77222457200233,12.88
30,200,46.83805366913616,0.2522884005861258,-30.826746008158352,12.02
50,150,49.30422091677103,0.24932314202257064,-31.8791873179651,12.94
50,100,45.554345190682646,0.22739413241779238,-33.13623947602112,18.54
30,150,38.82189842772697,0.1909517527147683,-33.518334750535985,14.96
20,200,36.834227273945366,0.18601551177076886,-33.31032433006287,14.62
30,100,35.14571096803459,0.1652743669052134,-34.2277970013551,20.38
20,150,31.475052602803235,0.15221595765392154,-34.76740867070729,17.64
20,100,22.350184309692246,0.09682767524273876,-34.45123859903899,22.48
10,200,15.203707803290442,0.07520601260499991,-36.391998395015975,19.86
30,50,14.798379641160704,0.04713318573771761,-36.46360503032739,38.02
10,150,4.343697580018972,-0.011263920421891845,-39.1331799581734,24.26
20,50,-2.442046375331744,-0.06789469076026297,-40.24239226156991,37.22
10,100,-5.177363243519409,-0.09418337870870869,-41.45255592735764,29.34
5,200,-7.285993714414915,-0.09636273122239651,-38.822483333976294,26.82
5,150,-16.495339769418862,-0.17657246886196912,-41.85942613107533,31.52
20,30,-19.627573868906257,-0.21845360933883679,-46.45838263516267,63.64
5,100,-24.635500440292212,-0.2603794588879164,-45.81578273191676,38.54
10,50,-32.66213363592651,-0.36262799660416717,-50.43034673042575,44.9
10,30,-43.07773024916385,-0.5037200240115345,-56.682663614085996,64.16
5,50,-43.29161822473767,-0.5086422933709374,-55.84936341098385,57.28
5,30,-53.56128286469496,-0.6849363427908688,-62.18782259013632,79.52
10,20,-56.05198713121618,-0.7136442943012312,-64.0637508344294,92.86
5,10,-56.14036965575133,-0.7295347446044363,-65.32776558039868,174.64
5,20,-60.364643536880706,-0.8182268714188874,-66.03696734014356,105.16
